Problem,Package,File,Priority,Line,Description,Rule set,Rule
4,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java,2,132,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/TelnetTask.java,1,125,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
3,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java,2,123,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
2,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTask.java,2,122,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/WorkerAnt.java,2,122,Object.wait(...) and Condition.await(...) should be called inside a while loop,Sonar,WaitInWhileLoopCheck
2,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java,2,119,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/FailureRecorder.java,2,115,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.tools.ant.taskdefs.optional.net,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/net/FTPTask.java,2,111,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
3,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/ProjectHelper.java,2,104,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/ProjectHelper.java,2,100,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.tools.ant.taskdefs.rmic,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/rmic/SunRmic.java,1,99,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant,apache-ant-1.8.4/src/main/org/apache/tools/ant/ProjectHelper.java,2,96,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.tools.ant.types,apache-ant-1.8.4/src/main/org/apache/tools/ant/types/Path.java,2,79,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.apache.tools.ant.taskdefs.optional.i18n,apache-ant-1.8.4/src/tests/junit/org/apache/tools/ant/taskdefs/optional/i18n/TranslateTest.java,2,79,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,org.apache.tools.ant.taskdefs.optional.junit,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitVersionHelper.java,2,76,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.tools.ant.taskdefs.rmic,apache-ant-1.8.4/src/main/org/apache/tools/ant/taskdefs/rmic/KaffeRmic.java,2,70,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.tools.ant.types,apache-ant-1.8.4/src/main/org/apache/tools/ant/types/Path.java,2,70,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
1,org.apache.tools.ant.input,apache-ant-1.8.4/src/main/org/apache/tools/ant/input/DefaultInputHandler.java,1,69,Jump statements should not occur in finally blocks,Sonar,ReturnInFinallyCheck
1,org.apache.tools.ant.util,apache-ant-1.8.4/src/main/org/apache/tools/ant/util/DateUtils.java,2,69,Non-thread-safe fields should not be static,Sonar,StaticMultithreadedUnsafeFieldsCheck
1,org.apache.tools.ant.launch,apache-ant-1.8.4/src/main/org/apache/tools/ant/launch/Launcher.java,2,65,public static fields should be constant,Sonar,PublicStaticFieldShouldBeFinalCheck
