Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ListData.java,1,121,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ListFormatOverride.java,1,92,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ListFormatOverrideLevel.java,1,77,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ListLevel.java,1,178,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ListTables.java,1,207,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/PieceDescriptor.java,1,100,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/ParagraphHeight.java,1,75,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/PropertyNode.java,1,114,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/SectionDescriptor.java,1,55,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/TextPiece.java,1,169,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/UPX.java,1,40,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/SectionTable.java,3,130,Loop conditions should be true at least once,Sonar,ForLoopFalseConditionCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/StyleSheet.java,1,177,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/StyleDescription.java,1,244,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.model,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/model/TextPieceTable.java,1,228,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hslf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hslf/usermodel/SlideShow.java,2,880,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,org.apache.poi.hwpf.sprm,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/sprm/SprmBuffer.java,1,136,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/BorderCode.java,1,55,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/DateAndTime.java,1,58,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/LineSpacingDescriptor.java,1,71,equals(Object obj) should test argument type,Sonar,EqualsArgumentTypeCheck
1,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,45,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,46,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
3,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,47,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
4,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,48,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
5,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,49,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
6,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,50,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
7,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,52,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
8,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,53,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
9,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,54,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
10,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,57,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
11,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,59,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
12,org.apache.poi.hwpf.usermodel,poi-3.6/src/scratchpad/src/org/apache/poi/hwpf/usermodel/Picture.java,2,60,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.poi.hdgf.streams,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,2,24,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.poi.hdgf.streams,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,2,27,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
3,org.apache.poi.hdgf.streams,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/streams/TestStreamBasics.java,2,51,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.poi.hdgf,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFLZW.java,2,25,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.poi.hdgf,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/TestHDGFLZW.java,2,73,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.poi.hdgf.chunks,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/chunks/TestChunks.java,2,23,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
2,org.apache.poi.hdgf.chunks,poi-3.6/src/scratchpad/testcases/org/apache/poi/hdgf/chunks/TestChunks.java,2,53,Mutable fields should not be public static,Sonar,PublicStaticMutableMembersCheck
1,org.apache.poi.hslf.record,poi-3.6/src/scratchpad/testcases/org/apache/poi/hslf/record/TestCurrentUserAtom.java,2,90,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,org.apache.poi.hslf.usermodel,poi-3.6/src/scratchpad/testcases/org/apache/poi/hslf/usermodel/TestRichTextRun.java,2,70,Instance methods should not write to static fields,Sonar,StaticFieldUpateCheck
1,org.apache.poi.ddf,poi-3.6/src/testcases/org/apache/poi/ddf/TestEscherBlipRecord.java,2,148,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,org.apache.poi.hssf.record.formula.eval,poi-3.6/src/testcases/org/apache/poi/hssf/record/formula/eval/TestMinusZeroResult.java,2,115,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
1,org.apache.poi.hssf.usermodel,poi-3.6/src/testcases/org/apache/poi/hssf/usermodel/SanityChecker.java,2,274,Avoid comparing class names directly. Use instanceof or Class.isAssignableFrom() instead.,Sonar,ClassComparedByNameCheck
1,org.apache.poi.hssf.usermodel,poi-3.6/src/testcases/org/apache/poi/hssf/usermodel/TestCellStyle.java,2,145,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
2,org.apache.poi.hssf.usermodel,poi-3.6/src/testcases/org/apache/poi/hssf/usermodel/TestCellStyle.java,2,146,Identical expressions should not be used on both sides of a binary operator,Sonar,IdenticalOperandOnBinaryExpressionCheck
1,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/ReaderWriter.java,2,116,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
2,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/ReaderWriter.java,2,145,Exit methods should not be called,Sonar,SystemExitCalledCheck
3,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/ReaderWriter.java,2,182,Exit methods should not be called,Sonar,SystemExitCalledCheck
1,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/TestDocumentInputStream.java,2,105,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
2,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/TestDocumentInputStream.java,2,114,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
3,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/TestDocumentInputStream.java,2,116,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
4,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/TestDocumentInputStream.java,2,126,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
5,org.apache.poi.poifs.filesystem,poi-3.6/src/testcases/org/apache/poi/poifs/filesystem/TestDocumentInputStream.java,2,223,The value returned from a stream read should be checked,Sonar,IgnoredStreamReturnValueCheck
1,org.apache.poi.ss.util,poi-3.6/src/testcases/org/apache/poi/ss/util/NumberRenderingSpreadsheetGenerator.java,2,216,Ints and longs should not be shifted by zero or more than their number of bits-1,Sonar,ShiftOnIntOrLongCheck
1,org.apache.poi.util,poi-3.6/src/testcases/org/apache/poi/util/TestIntegerField.java,2,33,Neither 'Math.abs' nor negation should be used on numbers that could be 'MIN_VALUE',Sonar,AbsOnNegativeCheck
1,org.apache.poi.util,poi-3.6/src/testcases/org/apache/poi/util/TestLongField.java,2,32,Neither 'Math.abs' nor negation should be used on numbers that could be 'MIN_VALUE',Sonar,AbsOnNegativeCheck
2,org.apache.poi.util,poi-3.6/src/testcases/org/apache/poi/util/TestLongField.java,2,179,Ints and longs should not be shifted by zero or more than their number of bits-1,Sonar,ShiftOnIntOrLongCheck
3,org.apache.poi.util,poi-3.6/src/testcases/org/apache/poi/util/TestLongField.java,2,180,Ints and longs should not be shifted by zero or more than their number of bits-1,Sonar,ShiftOnIntOrLongCheck
