File_Path,Issue_Name,Line,Severity,Rule,Type
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/SourceGenerator.java,【_sInfo】命名不能以_或$开始,224,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/SourceGenerator.java,【resolverNameresolverName】应该作为equals的参数，而不是调用方,368,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/SourceGenerator.java,【resolverNameresolverName】应该作为equals的参数，而不是调用方,371,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/ExtendedBinding.java,【_componentBindings】命名不能以_或$开始,132,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/ExtendedBinding.java,【_bindingProcessed】命名不能以_或$开始,138,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/ExtendedBinding.java,【_automaticNameResolutionForced】命名不能以_或$开始,144,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/ExtendedBinding.java,【_automaticNameResolutionExcludes】命名不能以_或$开始,149,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractWhiteSpaceFacet.java,【_whiteSpaceCollapseOnly】命名不能以_或$开始,33,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractWhiteSpaceFacet.java,【_whiteSpace】命名不能以_或$开始,36,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractPatternFacet.java,【_patterns】命名不能以_或$开始,37,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/entity/BookType.java,【_coverType】命名不能以_或$开始,26,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/entity/BookType.java,【_isbn】命名不能以_或$开始,31,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/entity/BookType.java,【_title】命名不能以_或$开始,36,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSBoolean.java,【_jType】命名不能以_或$开始,41,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSBoolean.java,【_asWrapper】命名不能以_或$开始,44,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/MappingFileSourceFactory.java,"End this switch case with an unconditional break, return or throw statement.",266,严重,"Switch cases should end with an unconditional ""break"" statement",CODE_SMELL
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/MappingFileSourceFactory.java,【membermember.getName()】应该作为equals的参数，而不是调用方,213,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/MappingFileSourceFactory.java,【classNameclassName】应该作为equals的参数，而不是调用方,238,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/noJDO/descriptors/BookTypeDescriptor.java,【_elementDefinition】命名不能以_或$开始,31,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/noJDO/descriptors/BookTypeDescriptor.java,【_nsPrefix】命名不能以_或$开始,36,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/noJDO/descriptors/BookTypeDescriptor.java,【_nsURI】命名不能以_或$开始,41,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/noJDO/descriptors/BookTypeDescriptor.java,【_xmlName】命名不能以_或$开始,46,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/noJDO/descriptors/BookTypeDescriptor.java,【_identity】命名不能以_或$开始,51,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/anttask/src/main/java/org/exolab/castor/tools/ant/taskdefs/CastorSourceGenTask.java,【_codeGen】命名不能以_或$开始,67,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java,Use a logger to log this exception.,64,严重,Throwable.printStackTrace(...) should not be called,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java,Use a logger to log this exception.,103,严重,Throwable.printStackTrace(...) should not be called,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java,【_log】命名不能以_或$开始,41,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/printing/TemplateJClassPrinter.java,【_initialized】命名不能以_或$开始,46,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractRangeFacet.java,【_maxExclusive】命名不能以_或$开始,32,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractRangeFacet.java,【_maxInclusive】命名不能以_或$开始,35,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractRangeFacet.java,【_minExclusive】命名不能以_或$开始,38,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/AbstractRangeFacet.java,【_minInclusive】命名不能以_或$开始,41,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/conflictresolution/BaseClassNameCRStrategy.java,【_generator】命名不能以_或$开始,28,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/XMLBindingComponent.java,【_binding】命名不能以_或$开始,124,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/binding/XMLBindingComponent.java,【_compBinding】命名不能以_或$开始,130,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
